Feature_Selection,Method,Accuracy,F1_Score,ROC_AUC,Sensitivity,Specificity,Precision,Kappa
GA,Random Forest,0.9384615384615385,0.9384615384615385,0.9500000000000001,0.7833333333333333,0.7833333333333333,0.9384615384615385,0.5666666666666667
GA,XGBoost,0.9076923076923077,0.9192876089427813,0.9633333333333333,0.8583333333333334,0.8583333333333334,0.9407814407814407,0.524390243902439
GA,LightGBM,0.9692307692307692,0.9692307692307692,0.9766666666666667,0.8916666666666666,0.8916666666666666,0.9692307692307692,0.7833333333333333
GA,GradientBoosting,0.9230769230769231,0.930966469428008,0.9566666666666667,0.8666666666666667,0.8666666666666667,0.9453441295546559,0.5751633986928104
PSO,Random Forest,0.8923076923076924,0.8967503085150144,0.9416666666666667,0.6666666666666667,0.6666666666666667,0.9017818339852238,0.30534351145038163
PSO,XGBoost,0.8923076923076924,0.8967503085150144,0.9433333333333334,0.6666666666666667,0.6666666666666667,0.9017818339852238,0.30534351145038163
PSO,LightGBM,0.8923076923076924,0.8967503085150144,0.9466666666666667,0.6666666666666667,0.6666666666666667,0.9017818339852238,0.30534351145038163
PSO,GradientBoosting,0.8923076923076924,0.8967503085150144,0.9533333333333334,0.6666666666666667,0.6666666666666667,0.9017818339852238,0.30534351145038163
NONE,Random Forest,0.9076923076923077,0.9146023468057367,0.9483333333333334,0.7666666666666666,0.7666666666666666,0.9242137173171657,0.45070422535211274
NONE,XGBoost,0.9230769230769231,0.9262502203678674,0.95,0.7749999999999999,0.7749999999999999,0.9302477183833116,0.5038167938931297
NONE,LightGBM,0.9076923076923077,0.9076923076923077,0.9433333333333334,0.675,0.675,0.9076923076923077,0.35
NONE,GradientBoosting,0.9076923076923077,0.9076923076923077,0.95,0.675,0.675,0.9076923076923077,0.35