Dataset,Method,Model,Kappa,Accuracy,ROC-AUC,F1-Score,Sensitivity,Specificity,Precision
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,GA,0.4565217391304347,0.6666666666666666,0.866494708994709,0.6555555555555554,0.6158730158730159,0.8166666666666668,0.7238095238095238
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,GA,0.5774647887323944,0.7333333333333333,0.8277248677248679,0.7167521367521368,0.6825396825396824,0.8638888888888889,0.726984126984127
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,GA,0.5522388059701493,0.7333333333333333,0.9398148148148149,0.6511111111111112,0.6190476190476191,0.85,0.5880952380952381
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,GA,0.6739130434782609,0.8,0.9424074074074075,0.8,0.7746031746031745,0.8833333333333333,0.8166666666666667
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,GA,0.5833333333333334,0.7333333333333333,0.9041005291005292,0.7275213675213675,0.746031746031746,0.8583333333333334,0.7816666666666667
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,PSO,0.3382352941176471,0.6,0.8276719576719577,0.5384615384615384,0.5047619047619047,0.7833333333333333,0.5
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,PSO,0.3661971830985915,0.6,0.8501587301587302,0.6015873015873014,0.5682539682539682,0.7916666666666666,0.7214814814814815
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,PSO,0.20454545454545459,0.5333333333333333,0.7564814814814814,0.5226579520697168,0.4825396825396826,0.725,0.6
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,PSO,-0.00746268656716409,0.4,0.714100529100529,0.3533333333333334,0.3428571428571428,0.6583333333333333,0.31785714285714284
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,PSO,0.2808219178082191,0.5333333333333333,0.6886507936507936,0.5333333333333333,0.565079365079365,0.7555555555555555,0.5561904761904762
HEALTHY MT-HEALTHY WT-BRCA,Random Forest,ALL,0.5522388059701493,0.7333333333333333,0.8875793650793651,0.6511111111111112,0.6190476190476191,0.85,0.5880952380952381
HEALTHY MT-HEALTHY WT-BRCA,XGBoost,ALL,0.4565217391304347,0.6666666666666666,0.8278306878306879,0.6111111111111112,0.5714285714285715,0.8222222222222223,0.5714285714285714
HEALTHY MT-HEALTHY WT-BRCA,Light GBM,ALL,0.6739130434782609,0.8,0.9695767195767195,0.7777777777777779,0.7301587301587302,0.8916666666666666,0.8380952380952381
HEALTHY MT-HEALTHY WT-BRCA,Gradient Boosting,ALL,0.47916666666666663,0.6666666666666666,0.8805820105820105,0.6741258741258741,0.6603174603174603,0.8305555555555554,0.6888888888888889
HEALTHY MT-HEALTHY WT-BRCA,Ada Boost,ALL,0.3571428571428572,0.6,0.9019047619047619,0.5923076923076923,0.5682539682539682,0.7833333333333333,0.6777777777777777
HEALTHY WT-BRCA,Random Forest,GA,0.3298969072164949,0.6153846153846154,0.7361111111111112,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,GA,0.3298969072164949,0.6153846153846154,0.6388888888888888,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Light GBM,GA,0.5517241379310345,0.7692307692307693,0.8888888888888888,0.7776223776223776,0.8333333333333333,0.8333333333333333,0.868131868131868
HEALTHY WT-BRCA,Gradient Boosting,GA,0.36585365853658547,0.6923076923076923,0.7916666666666667,0.7038461538461539,0.7083333333333333,0.7083333333333333,0.7472527472527472
HEALTHY WT-BRCA,Ada Boost,GA,0.36585365853658547,0.6923076923076923,0.75,0.7038461538461539,0.7083333333333333,0.7083333333333333,0.7472527472527472
HEALTHY WT-BRCA,Random Forest,PSO,0.3298969072164949,0.6153846153846154,0.7222222222222222,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,PSO,0.3298969072164949,0.6153846153846154,0.8333333333333333,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Light GBM,PSO,0.3298969072164949,0.6153846153846154,0.9444444444444444,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Gradient Boosting,PSO,0.2528735632183907,0.6153846153846154,0.7777777777777777,0.6293706293706294,0.6527777777777778,0.6527777777777778,0.7087912087912087
HEALTHY WT-BRCA,Ada Boost,PSO,0.23529411764705888,0.5384615384615384,0.5833333333333334,0.521978021978022,0.6666666666666666,0.6666666666666666,0.8153846153846154
HEALTHY WT-BRCA,Random Forest,ALL,0.3298969072164949,0.6153846153846154,0.9166666666666666,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,XGBoost,ALL,0.23529411764705888,0.5384615384615384,0.861111111111111,0.521978021978022,0.6666666666666666,0.6666666666666666,0.8153846153846154
HEALTHY WT-BRCA,Light GBM,ALL,0.3298969072164949,0.6153846153846154,0.5833333333333333,0.6153846153846154,0.7222222222222222,0.7222222222222222,0.8290598290598291
HEALTHY WT-BRCA,Gradient Boosting,ALL,0.15217391304347827,0.5384615384615384,0.6111111111111112,0.5494505494505494,0.5972222222222222,0.5972222222222222,0.6692307692307692
HEALTHY WT-BRCA,Ada Boost,ALL,0.15217391304347827,0.5384615384615384,0.6666666666666667,0.5494505494505494,0.5972222222222222,0.5972222222222222,0.6692307692307692
HEALTHY MT-BRCA,Random Forest,GA,0.25,0.625,0.65625,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,XGBoost,GA,0.5,0.75,0.8125,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Light GBM,GA,0.25,0.625,0.625,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Gradient Boosting,GA,0.5,0.75,1.0,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Ada Boost,GA,0.75,0.875,0.8125,0.873015873015873,0.875,0.875,0.9
HEALTHY MT-BRCA,Random Forest,PSO,-0.25,0.375,0.625,0.2727272727272727,0.375,0.375,0.21428571428571427
HEALTHY MT-BRCA,XGBoost,PSO,0.0,0.5,0.625,0.4666666666666667,0.5,0.5,0.5
HEALTHY MT-BRCA,Light GBM,PSO,0.5,0.75,1.0,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Gradient Boosting,PSO,0.25,0.625,0.75,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Ada Boost,PSO,0.75,0.875,0.9375,0.873015873015873,0.875,0.875,0.9
HEALTHY MT-BRCA,Random Forest,ALL,0.5,0.75,0.75,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,XGBoost,ALL,0.25,0.625,0.5,0.6190476190476191,0.625,0.625,0.6333333333333333
HEALTHY MT-BRCA,Light GBM,ALL,0.5,0.75,0.875,0.7333333333333334,0.75,0.75,0.8333333333333333
HEALTHY MT-BRCA,Gradient Boosting,ALL,0.5,0.75,0.75,0.75,0.75,0.75,0.75
HEALTHY MT-BRCA,Ada Boost,ALL,0.75,0.875,1.0,0.873015873015873,0.875,0.875,0.9
HEALTHY-BRCA,Random Forest,GA,0.57487922705314,0.8787878787878788,0.9406779661016949,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,XGBoost,GA,0.4806866952789699,0.8333333333333334,0.9418886198547215,0.8614330218068537,0.9067796610169492,0.9067796610169492,0.9351851851851851
HEALTHY-BRCA,Light GBM,GA,0.611764705882353,0.8939393939393939,0.9322033898305085,0.9082719082719083,0.9406779661016949,0.9406779661016949,0.946969696969697
HEALTHY-BRCA,Gradient Boosting,GA,0.57487922705314,0.8787878787878788,0.9515738498789346,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,Ada Boost,GA,0.611764705882353,0.8939393939393939,0.9491525423728814,0.9082719082719083,0.9406779661016949,0.9406779661016949,0.946969696969697
HEALTHY-BRCA,Random Forest,PSO,0.57487922705314,0.8787878787878788,0.9358353510895885,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,XGBoost,PSO,0.4806866952789699,0.8333333333333334,0.9443099273607749,0.8614330218068537,0.9067796610169492,0.9067796610169492,0.9351851851851851
HEALTHY-BRCA,Light GBM,PSO,0.6520210896309315,0.9090909090909091,0.9297820823244553,0.9202922077922078,0.9491525423728814,0.9491525423728814,0.951048951048951
HEALTHY-BRCA,Gradient Boosting,PSO,0.57487922705314,0.8787878787878788,0.9491525423728814,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,Ada Boost,PSO,0.5360281195079086,0.8787878787878788,0.927360774818402,0.8937229437229437,0.8692493946731235,0.8692493946731235,0.9260236618727185
HEALTHY-BRCA,Random Forest,ALL,0.57487922705314,0.8787878787878788,0.9527845036319613,0.8964187327823692,0.9322033898305084,0.9322033898305084,0.9434343434343434
HEALTHY-BRCA,XGBoost,ALL,0.5096582466567607,0.8484848484848485,0.9467312348668281,0.8730359147025815,0.9152542372881356,0.9152542372881356,0.9376114081996435
HEALTHY-BRCA,Light GBM,ALL,0.574585635359116,0.8939393939393939,0.9225181598062955,0.9055482632566936,0.8777239709443099,0.8777239709443099,0.9304152637485972
HEALTHY-BRCA,Gradient Boosting,ALL,0.5360281195079086,0.8787878787878788,0.9515738498789346,0.8937229437229437,0.8692493946731235,0.8692493946731235,0.9260236618727185
HEALTHY-BRCA,Ada Boost,ALL,0.4806866952789699,0.8333333333333334,0.9685230024213075,0.8614330218068537,0.9067796610169492,0.9067796610169492,0.9351851851851851
HEALTHY-PRE BRCA,Random Forest,GA,0.35964912280701744,0.7534246575342466,0.8237704918032787,0.7810709838107098,0.7520491803278688,0.7520491803278688,0.8461000838691641
HEALTHY-PRE BRCA,XGBoost,GA,0.30753869196205696,0.7397260273972602,0.8073770491803279,0.767729764990039,0.7103825136612021,0.7103825136612021,0.8259440142942228
HEALTHY-PRE BRCA,Light GBM,GA,0.2525597269624573,0.7534246575342466,0.8251366120218578,0.7717052432687767,0.6516393442622951,0.6516393442622951,0.799252801992528
HEALTHY-PRE BRCA,Gradient Boosting,GA,0.2525597269624573,0.7534246575342466,0.7841530054644807,0.7717052432687767,0.6516393442622951,0.6516393442622951,0.799252801992528
HEALTHY-PRE BRCA,Ada Boost,GA,0.2525597269624573,0.7534246575342466,0.8306010928961748,0.7717052432687767,0.6516393442622951,0.6516393442622951,0.799252801992528
HEALTHY-PRE BRCA,Random Forest,PSO,0.30753869196205696,0.7397260273972602,0.8367486338797814,0.767729764990039,0.7103825136612021,0.7103825136612021,0.8259440142942228
HEALTHY-PRE BRCA,XGBoost,PSO,0.4356525693497043,0.7671232876712328,0.8265027322404371,0.7955841367696443,0.8271857923497268,0.8271857923497268,0.8844219442790021
HEALTHY-PRE BRCA,Light GBM,PSO,0.335608646188851,0.7808219178082192,0.825136612021858,0.7970713273500236,0.7015027322404372,0.7015027322404372,0.8235782482357824
HEALTHY-PRE BRCA,Gradient Boosting,PSO,0.31322634200332045,0.7671232876712328,0.8442622950819673,0.786328267593998,0.6933060109289617,0.6933060109289617,0.8188069107319288
HEALTHY-PRE BRCA,Ada Boost,PSO,0.31322634200332045,0.7671232876712328,0.8183060109289616,0.786328267593998,0.6933060109289617,0.6933060109289617,0.8188069107319288
HEALTHY-PRE BRCA,Random Forest,ALL,0.33983817229890523,0.7397260273972602,0.8148907103825136,0.769928908423316,0.7438524590163935,0.7438524590163935,0.8425684931506849
HEALTHY-PRE BRCA,XGBoost,ALL,0.38883720930232557,0.7534246575342466,0.8210382513661202,0.7828646959865417,0.7855191256830601,0.7855191256830601,0.8632827388292267
HEALTHY-PRE BRCA,Light GBM,ALL,0.2920258620689655,0.7534246575342466,0.8497267759562841,0.7755948089401585,0.6851092896174864,0.6851092896174864,0.8143189454639442
HEALTHY-PRE BRCA,Gradient Boosting,ALL,0.2920258620689655,0.7534246575342466,0.7991803278688524,0.7755948089401585,0.6851092896174864,0.6851092896174864,0.8143189454639442
HEALTHY-PRE BRCA,Ada Boost,ALL,0.453320019970045,0.7945205479452054,0.8674863387978141,0.8166287618342413,0.8101092896174864,0.8101092896174864,0.8736628945801072
HEALTHY-PRE BRCA-BRCA,Random Forest,GA,0.5433526011560694,0.7974683544303798,0.9211056071350189,0.8143239494596655,0.828956228956229,0.8912957074721781,0.8674609084139985
HEALTHY-PRE BRCA-BRCA,XGBoost,GA,0.4733333333333334,0.7341772151898734,0.9080661543896839,0.7600788392962768,0.8638768638768638,0.8835121886592474,0.8661296509397775
HEALTHY-PRE BRCA-BRCA,Light GBM,GA,0.4399499582985822,0.7848101265822784,0.9072853219912044,0.794456881821669,0.7236171236171236,0.8222708002119766,0.8108124961027623
HEALTHY-PRE BRCA-BRCA,Gradient Boosting,GA,0.43042537851478024,0.7468354430379747,0.8707262935204111,0.7679895942387615,0.7577681577681578,0.8402225755166932,0.8216787936582584
HEALTHY-PRE BRCA-BRCA,Ada Boost,GA,0.4191176470588236,0.6835443037974683,0.8669545930575341,0.7184512773108345,0.8427128427128427,0.8666865394806571,0.8614175205947358
HEALTHY-PRE BRCA-BRCA,Random Forest,PSO,0.4862716763005781,0.7721518987341772,0.9196489795754502,0.7913500181020758,0.7933621933621934,0.865560413354531,0.8448622486969471
HEALTHY-PRE BRCA-BRCA,XGBoost,PSO,0.4542763157894737,0.7341772151898734,0.9083872069166188,0.7594891167476165,0.8025012025012025,0.867580816110228,0.8486516235553109
HEALTHY-PRE BRCA-BRCA,Light GBM,PSO,0.32109375000000007,0.7215189873417721,0.8793178969649557,0.7393067650523134,0.672150072150072,0.7822270800211978,0.7711306098964327
HEALTHY-PRE BRCA-BRCA,Gradient Boosting,PSO,0.34009546539379476,0.7341772151898734,0.8564835461894286,0.7486012126369535,0.6774410774410775,0.7875264970853206,0.7756429576049829
HEALTHY-PRE BRCA-BRCA,Ada Boost,PSO,0.38649940262843496,0.6708860759493671,0.8552027963792671,0.7064684787047064,0.8124098124098125,0.8458532061473237,0.8388065589516654
HEALTHY-PRE BRCA-BRCA,Random Forest,ALL,0.5059068797776234,0.7721518987341772,0.9205209745650921,0.7924954792043399,0.8183742183742183,0.8818892421833598,0.8593530239099859
HEALTHY-PRE BRCA-BRCA,XGBoost,ALL,0.453197099538563,0.7341772151898734,0.8998335329217682,0.7595600311893426,0.8025012025012025,0.8671833598304186,0.8489420901363665
HEALTHY-PRE BRCA-BRCA,Light GBM,ALL,0.5039246467817897,0.7974683544303798,0.9060678803325862,0.8102846335799158,0.7425685425685425,0.8590355060943295,0.8407364787111621
HEALTHY-PRE BRCA-BRCA,Gradient Boosting,ALL,0.39540816326530615,0.7721518987341772,0.8759923598158892,0.7792968329792676,0.6933140933140933,0.8018349231584526,0.7925159121790746
HEALTHY-PRE BRCA-BRCA,Ada Boost,ALL,0.24038461538461542,0.7341772151898734,0.8605095594066182,0.7382922899884925,0.4933140933140933,0.7397323794382618,0.742684088743705
PRE BRCA-BRCA,Random Forest,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,XGBoost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Light GBM,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Gradient Boosting,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Ada Boost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Random Forest,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,XGBoost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Light GBM,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Gradient Boosting,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Ada Boost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Random Forest,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,XGBoost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Light GBM,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Gradient Boosting,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA,Ada Boost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Random Forest,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,XGBoost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Light GBM,GA,0.8256880733944953,0.9473684210526315,0.875,0.9444579189910258,0.875,0.875,0.9506578947368421
PRE BRCA-BRCA MT,Gradient Boosting,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Ada Boost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Random Forest,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,XGBoost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Light GBM,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Gradient Boosting,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Ada Boost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Random Forest,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,XGBoost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Light GBM,ALL,0.8549618320610687,0.9473684210526315,0.95,0.9493849566444849,0.9666666666666667,0.9666666666666667,0.9578947368421052
PRE BRCA-BRCA MT,Gradient Boosting,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA MT,Ada Boost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Random Forest,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,XGBoost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Light GBM,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Gradient Boosting,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Ada Boost,GA,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Random Forest,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,XGBoost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Light GBM,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Gradient Boosting,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Ada Boost,PSO,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Random Forest,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,XGBoost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Light GBM,ALL,0.0,0.9333333333333333,0.5,0.9011494252873563,0.5,0.5,0.8711111111111111
PRE BRCA-BRCA WT,Gradient Boosting,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRE BRCA-BRCA WT,Ada Boost,ALL,1.0,1.0,1.0,1.0,1.0,1.0,1.0
